FechaVenta,IdProducto,Producto,Cantidad,PrecioVenta,IdCliente,Cliente,IdTienda,Tienda
2024-01-06,8,Computadora Portátil 15,2,1375.63,6,Stark Industries,9,Tienda Online Plus
2024-03-08,3,Refrigerador Doble Puerta,3,2308.12,10,Hooli,9,Tienda Online Plus
2024-06-01,1,Televisor LED 55,2,2139.37,6,Stark Industries,2,Tienda Central
2024-12-21,10,Smartwatch,5,1611.71,1,ACME Corp,5,Tienda Premium
2024-01-01,8,Computadora Portátil 15,4,2556.06,8,Dunder Mifflin,6,ElectroShop Oeste
2024-06-18,3,Refrigerador Doble Puerta,2,1537.1,6,Stark Industries,7,Tienda Express
2024-02-16,1,Televisor LED 55,2,2021.56,3,Initech,9,Tienda Online Plus
2024-01-27,3,Refrigerador Doble Puerta,2,1351.23,10,Hooli,1,ElectroShop Online
2024-10-05,7,Home Theater 5.1,5,906.86,2,Globex Corporation,8,ElectroShop Este
2024-11-19,2,Lavadora 8kg,2,926.91,1,ACME Corp,5,Tienda Premium
2024-05-16,6,Licuadora 600W,1,151.15,1,ACME Corp,8,ElectroShop Este
2024-11-01,5,Aspiradora Sin Bolsa,4,968.41,8,Dunder Mifflin,2,Tienda Central
2024-03-07,5,Aspiradora Sin Bolsa,5,1150.05,9,Pied Piper,3,Outlet Norte
2024-08-20,7,Home Theater 5.1,1,204.84,10,Hooli,9,Tienda Online Plus
2024-01-13,4,Microondas 20L,5,1571.17,1,ACME Corp,5,Tienda Premium
2024-02-03,8,Computadora Portátil 15,3,1896.58,6,Stark Industries,2,Tienda Central
2024-06-15,4,Microondas 20L,2,598.84,7,Wayne Enterprises,7,Tienda Express
2024-06-15,4,Microondas 20L,5,1358.06,4,Umbrella Corp,6,ElectroShop Oeste
2024-07-27,3,Refrigerador Doble Puerta,4,2909.34,7,Wayne Enterprises,3,Outlet Norte
2024-12-04,9,Tablet 10,3,1314.24,1,ACME Corp,7,Tienda Express
2024-04-08,8,Computadora Portátil 15,2,1310.95,7,Wayne Enterprises,9,Tienda Online Plus
2024-09-18,8,Computadora Portátil 15,2,1414.8,6,Stark Industries,4,ElectroShop Sur
2024-05-20,6,Licuadora 600W,4,601.3,9,Pied Piper,5,Tienda Premium
2024-03-24,10,Smartwatch,1,308.37,7,Wayne Enterprises,5,Tienda Premium
2024-07-21,6,Licuadora 600W,4,567.55,7,Wayne Enterprises,1,ElectroShop Online
2024-05-27,10,Smartwatch,5,1479.1,2,Globex Corporation,4,ElectroShop Sur
2024-01-30,7,Home Theater 5.1,3,624.61,3,Initech,3,Outlet Norte
2024-07-01,4,Microondas 20L,3,914.46,10,Hooli,1,ElectroShop Online
2024-07-14,5,Aspiradora Sin Bolsa,5,1135.19,6,Stark Industries,3,Outlet Norte
2024-01-06,9,Tablet 10,1,373.25,7,Wayne Enterprises,3,Outlet Norte
2024-01-09,8,Computadora Portátil 15,4,2495.77,8,Dunder Mifflin,3,Outlet Norte
2024-02-03,7,Home Theater 5.1,1,198.27,10,Hooli,9,Tienda Online Plus
2024-09-20,9,Tablet 10,1,366.83,2,Globex Corporation,3,Outlet Norte
2024-05-12,7,Home Theater 5.1,1,205.23,4,Umbrella Corp,7,Tienda Express
2024-12-10,9,Tablet 10,2,761.94,3,Initech,1,ElectroShop Online
2024-07-06,9,Tablet 10,3,1180.31,6,Stark Industries,4,ElectroShop Sur
2024-04-02,2,Lavadora 8kg,5,2169.26,4,Umbrella Corp,2,Tienda Central
2024-02-07,9,Tablet 10,2,745.43,9,Pied Piper,10,ElectroShop California
2024-09-06,3,Refrigerador Doble Puerta,4,3187.37,3,Initech,6,ElectroShop Oeste
2024-01-18,8,Computadora Portátil 15,3,2114.97,5,Weyland-Yutani,6,ElectroShop Oeste
2024-05-23,3,Refrigerador Doble Puerta,2,1615.37,1,ACME Corp,4,ElectroShop Sur
2024-03-17,1,Televisor LED 55,5,5301.3,4,Umbrella Corp,7,Tienda Express
2024-09-21,7,Home Theater 5.1,1,209.41,2,Globex Corporation,4,ElectroShop Sur
2024-09-04,9,Tablet 10,5,1869.85,8,Dunder Mifflin,10,ElectroShop California
2024-12-03,2,Lavadora 8kg,4,1865.07,5,Weyland-Yutani,3,Outlet Norte
2024-05-12,4,Microondas 20L,3,982.43,10,Hooli,2,Tienda Central
2024-01-22,2,Lavadora 8kg,4,1869.1,6,Stark Industries,5,Tienda Premium
2024-06-17,5,Aspiradora Sin Bolsa,4,905.04,8,Dunder Mifflin,6,ElectroShop Oeste
2024-09-15,9,Tablet 10,3,1315.5,9,Pied Piper,8,ElectroShop Este
2024-09-11,1,Televisor LED 55,2,1856.16,4,Umbrella Corp,5,Tienda Premium
2024-07-08,7,Home Theater 5.1,1,214.74,7,Wayne Enterprises,4,ElectroShop Sur
2024-08-05,3,Refrigerador Doble Puerta,2,1591.02,2,Globex Corporation,9,Tienda Online Plus
2024-08-19,6,Licuadora 600W,1,148.24,4,Umbrella Corp,9,Tienda Online Plus
2024-07-19,1,Televisor LED 55,1,1059.44,3,Initech,2,Tienda Central
2024-12-20,1,Televisor LED 55,5,4601.83,6,Stark Industries,4,ElectroShop Sur
2024-09-25,3,Refrigerador Doble Puerta,2,1596.63,6,Stark Industries,6,ElectroShop Oeste
2024-12-12,9,Tablet 10,3,1139.36,6,Stark Industries,5,Tienda Premium
2024-04-30,1,Televisor LED 55,3,3103.06,1,ACME Corp,6,ElectroShop Oeste
2024-07-06,3,Refrigerador Doble Puerta,1,698.65,10,Hooli,10,ElectroShop California
2024-10-01,7,Home Theater 5.1,4,743.16,6,Stark Industries,6,ElectroShop Oeste
2024-02-09,9,Tablet 10,4,1459.97,4,Umbrella Corp,10,ElectroShop California
2024-01-17,8,Computadora Portátil 15,3,1807.5,4,Umbrella Corp,2,Tienda Central
2024-07-20,1,Televisor LED 55,1,963.7,10,Hooli,3,Outlet Norte
2024-07-21,10,Smartwatch,4,1218.44,6,Stark Industries,7,Tienda Express
2024-05-11,6,Licuadora 600W,4,564.87,1,ACME Corp,8,ElectroShop Este
2024-12-24,7,Home Theater 5.1,5,1024.33,4,Umbrella Corp,3,Outlet Norte
2024-06-08,3,Refrigerador Doble Puerta,1,729.41,4,Umbrella Corp,3,Outlet Norte
2024-12-23,4,Microondas 20L,1,309.04,3,Initech,9,Tienda Online Plus
2024-04-14,10,Smartwatch,2,600.77,1,ACME Corp,10,ElectroShop California
2024-02-05,10,Smartwatch,2,585.3,3,Initech,10,ElectroShop California
2024-01-21,10,Smartwatch,3,935.85,7,Wayne Enterprises,2,Tienda Central
2024-03-09,10,Smartwatch,2,611.62,9,Pied Piper,10,ElectroShop California
2024-07-18,6,Licuadora 600W,5,737.86,3,Initech,7,Tienda Express
2024-08-16,3,Refrigerador Doble Puerta,1,780.63,2,Globex Corporation,6,ElectroShop Oeste
2024-05-06,10,Smartwatch,1,317.53,4,Umbrella Corp,5,Tienda Premium
2024-12-09,5,Aspiradora Sin Bolsa,1,234.6,9,Pied Piper,4,ElectroShop Sur
2024-08-13,6,Licuadora 600W,5,687.9,6,Stark Industries,7,Tienda Express
2024-09-10,5,Aspiradora Sin Bolsa,3,781.25,3,Initech,7,Tienda Express
2024-11-20,4,Microondas 20L,4,1156.13,10,Hooli,5,Tienda Premium
2024-07-22,5,Aspiradora Sin Bolsa,4,940.14,8,Dunder Mifflin,9,Tienda Online Plus
2024-07-29,6,Licuadora 600W,5,716.05,9,Pied Piper,6,ElectroShop Oeste
2024-11-15,7,Home Theater 5.1,3,656.35,3,Initech,1,ElectroShop Online
2024-11-10,8,Computadora Portátil 15,1,654.23,2,Globex Corporation,2,Tienda Central
2024-09-07,5,Aspiradora Sin Bolsa,2,512.13,8,Dunder Mifflin,2,Tienda Central
2024-03-23,7,Home Theater 5.1,3,555.72,5,Weyland-Yutani,10,ElectroShop California
2024-02-26,1,Televisor LED 55,2,1961.69,6,Stark Industries,6,ElectroShop Oeste
2024-06-26,4,Microondas 20L,2,544.1,8,Dunder Mifflin,10,ElectroShop California
2024-04-02,5,Aspiradora Sin Bolsa,5,1278.99,5,Weyland-Yutani,7,Tienda Express
2024-03-21,6,Licuadora 600W,3,425.1,2,Globex Corporation,1,ElectroShop Online
2024-02-14,4,Microondas 20L,2,644.88,10,Hooli,4,ElectroShop Sur
2024-10-17,9,Tablet 10,5,1816.08,6,Stark Industries,10,ElectroShop California
2024-05-06,7,Home Theater 5.1,5,945.25,8,Dunder Mifflin,5,Tienda Premium
2024-09-13,9,Tablet 10,1,376.39,3,Initech,10,ElectroShop California
2024-09-28,10,Smartwatch,5,1560.06,5,Weyland-Yutani,10,ElectroShop California
2024-04-03,1,Televisor LED 55,3,2781.55,7,Wayne Enterprises,5,Tienda Premium
2024-04-21,9,Tablet 10,5,2093.61,3,Initech,7,Tienda Express
2024-04-07,3,Refrigerador Doble Puerta,4,3278.41,4,Umbrella Corp,7,Tienda Express
2024-06-23,6,Licuadora 600W,2,299.63,8,Dunder Mifflin,5,Tienda Premium
2024-06-13,8,Computadora Portátil 15,5,3314.24,6,Stark Industries,9,Tienda Online Plus
2024-07-18,2,Lavadora 8kg,4,1867.1,7,Wayne Enterprises,7,Tienda Express
2024-01-22,8,Computadora Portátil 15,2,1397.25,6,Stark Industries,2,Tienda Central
2024-07-21,3,Refrigerador Doble Puerta,4,2771.61,5,Weyland-Yutani,2,Tienda Central
2024-10-06,6,Licuadora 600W,1,146.19,4,Umbrella Corp,3,Outlet Norte
2024-07-18,10,Smartwatch,1,325.22,5,Weyland-Yutani,6,ElectroShop Oeste
2024-12-23,7,Home Theater 5.1,5,922.36,2,Globex Corporation,1,ElectroShop Online
2024-08-18,6,Licuadora 600W,4,527.89,5,Weyland-Yutani,2,Tienda Central
2024-05-26,4,Microondas 20L,3,949.76,10,Hooli,2,Tienda Central
2024-06-29,6,Licuadora 600W,2,272.93,9,Pied Piper,2,Tienda Central
2024-02-24,6,Licuadora 600W,1,145.63,7,Wayne Enterprises,1,ElectroShop Online
2024-11-22,6,Licuadora 600W,4,530.45,8,Dunder Mifflin,7,Tienda Express
2024-01-21,3,Refrigerador Doble Puerta,4,3041.76,10,Hooli,6,ElectroShop Oeste
2024-05-10,2,Lavadora 8kg,4,1919.33,4,Umbrella Corp,8,ElectroShop Este
2024-02-12,7,Home Theater 5.1,4,731.68,1,ACME Corp,9,Tienda Online Plus
2024-02-24,9,Tablet 10,3,1129.1,9,Pied Piper,5,Tienda Premium
2024-09-30,6,Licuadora 600W,5,672.13,10,Hooli,8,ElectroShop Este
2024-09-19,8,Computadora Portátil 15,5,3564.02,3,Initech,4,ElectroShop Sur
2024-11-15,4,Microondas 20L,4,1286.33,10,Hooli,4,ElectroShop Sur
2024-10-11,1,Televisor LED 55,4,4220.43,4,Umbrella Corp,5,Tienda Premium
2024-11-13,2,Lavadora 8kg,4,1968.24,8,Dunder Mifflin,8,ElectroShop Este
2024-07-26,8,Computadora Portátil 15,3,1781.71,5,Weyland-Yutani,7,Tienda Express
2024-11-16,10,Smartwatch,3,978.35,9,Pied Piper,1,ElectroShop Online
2024-09-26,10,Smartwatch,4,1267.55,10,Hooli,5,Tienda Premium
2024-01-23,10,Smartwatch,2,544.89,8,Dunder Mifflin,5,Tienda Premium
2024-04-17,8,Computadora Portátil 15,1,612.42,8,Dunder Mifflin,6,ElectroShop Oeste
2024-04-03,10,Smartwatch,5,1407.5,4,Umbrella Corp,2,Tienda Central
2024-09-28,10,Smartwatch,2,588.85,9,Pied Piper,5,Tienda Premium
2024-01-09,1,Televisor LED 55,4,3992.18,5,Weyland-Yutani,3,Outlet Norte
2024-07-16,4,Microondas 20L,1,306.06,5,Weyland-Yutani,6,ElectroShop Oeste
2024-09-20,8,Computadora Portátil 15,4,2777.72,10,Hooli,8,ElectroShop Este
2024-09-15,2,Lavadora 8kg,2,879.55,7,Wayne Enterprises,2,Tienda Central
2024-01-29,10,Smartwatch,5,1362.05,2,Globex Corporation,3,Outlet Norte
2024-04-26,9,Tablet 10,3,1081.7,9,Pied Piper,3,Outlet Norte
2024-07-02,6,Licuadora 600W,5,723.44,8,Dunder Mifflin,5,Tienda Premium
2024-11-02,10,Smartwatch,1,316.36,2,Globex Corporation,7,Tienda Express
2024-10-26,5,Aspiradora Sin Bolsa,5,1323.96,6,Stark Industries,1,ElectroShop Online
2024-06-14,3,Refrigerador Doble Puerta,1,800.81,6,Stark Industries,10,ElectroShop California
2024-10-19,6,Licuadora 600W,3,400.97,8,Dunder Mifflin,9,Tienda Online Plus
2024-04-01,3,Refrigerador Doble Puerta,1,714.32,10,Hooli,10,ElectroShop California
2024-04-08,4,Microondas 20L,1,272.38,5,Weyland-Yutani,2,Tienda Central
2024-07-31,1,Televisor LED 55,1,1051.22,10,Hooli,9,Tienda Online Plus
2024-08-15,2,Lavadora 8kg,4,1634.62,10,Hooli,7,Tienda Express
2024-11-20,9,Tablet 10,5,2190.17,8,Dunder Mifflin,4,ElectroShop Sur
2024-01-28,1,Televisor LED 55,5,5480.77,3,Initech,6,ElectroShop Oeste
2024-04-25,8,Computadora Portátil 15,2,1226.61,10,Hooli,7,Tienda Express
2024-06-22,7,Home Theater 5.1,3,622.83,9,Pied Piper,9,Tienda Online Plus
2024-09-25,1,Televisor LED 55,4,4155.17,6,Stark Industries,3,Outlet Norte
2024-08-22,3,Refrigerador Doble Puerta,2,1463.2,3,Initech,2,Tienda Central
2024-02-27,8,Computadora Portátil 15,5,3503.15,8,Dunder Mifflin,3,Outlet Norte
2024-05-24,1,Televisor LED 55,3,3079.26,10,Hooli,3,Outlet Norte
2024-01-19,6,Licuadora 600W,3,378.92,6,Stark Industries,1,ElectroShop Online
2024-09-06,4,Microondas 20L,1,320.0,1,ACME Corp,7,Tienda Express
2024-05-18,9,Tablet 10,2,814.52,4,Umbrella Corp,9,Tienda Online Plus
2024-10-22,9,Tablet 10,3,1218.09,1,ACME Corp,3,Outlet Norte
2024-06-20,2,Lavadora 8kg,2,987.01,6,Stark Industries,5,Tienda Premium
2024-10-26,4,Microondas 20L,1,280.61,9,Pied Piper,6,ElectroShop Oeste
2024-06-05,8,Computadora Portátil 15,4,2784.82,8,Dunder Mifflin,6,ElectroShop Oeste
2024-01-24,3,Refrigerador Doble Puerta,3,2097.72,7,Wayne Enterprises,10,ElectroShop California
2024-01-04,2,Lavadora 8kg,5,2164.8,3,Initech,9,Tienda Online Plus
2024-02-07,7,Home Theater 5.1,1,201.49,5,Weyland-Yutani,8,ElectroShop Este
2024-05-06,7,Home Theater 5.1,3,601.87,5,Weyland-Yutani,9,Tienda Online Plus
2024-12-06,6,Licuadora 600W,4,613.54,6,Stark Industries,1,ElectroShop Online
2024-08-29,3,Refrigerador Doble Puerta,4,2944.29,6,Stark Industries,10,ElectroShop California
2024-10-27,5,Aspiradora Sin Bolsa,4,1023.5,6,Stark Industries,4,ElectroShop Sur
2024-01-22,9,Tablet 10,4,1485.19,1,ACME Corp,5,Tienda Premium
2024-07-13,1,Televisor LED 55,1,944.47,3,Initech,5,Tienda Premium
2024-03-30,8,Computadora Portátil 15,3,1907.96,3,Initech,7,Tienda Express
2024-07-28,9,Tablet 10,3,1293.58,6,Stark Industries,5,Tienda Premium
2024-09-25,6,Licuadora 600W,3,437.94,9,Pied Piper,4,ElectroShop Sur
2024-10-20,6,Licuadora 600W,3,459.97,9,Pied Piper,8,ElectroShop Este
2024-10-31,3,Refrigerador Doble Puerta,4,2969.72,3,Initech,9,Tienda Online Plus
2024-10-28,4,Microondas 20L,1,325.26,2,Globex Corporation,6,ElectroShop Oeste
2024-03-21,10,Smartwatch,2,559.69,10,Hooli,9,Tienda Online Plus
2024-11-22,4,Microondas 20L,1,278.36,3,Initech,7,Tienda Express
2024-01-07,7,Home Theater 5.1,2,434.43,10,Hooli,5,Tienda Premium
2024-09-24,4,Microondas 20L,2,556.6,5,Weyland-Yutani,10,ElectroShop California
2024-09-30,3,Refrigerador Doble Puerta,1,807.48,5,Weyland-Yutani,1,ElectroShop Online
2024-06-15,6,Licuadora 600W,5,706.9,8,Dunder Mifflin,8,ElectroShop Este
2024-12-24,5,Aspiradora Sin Bolsa,3,811.68,7,Wayne Enterprises,6,ElectroShop Oeste
2024-05-14,9,Tablet 10,3,1278.91,9,Pied Piper,4,ElectroShop Sur
2024-05-07,8,Computadora Portátil 15,4,2772.4,10,Hooli,4,ElectroShop Sur
2024-02-23,3,Refrigerador Doble Puerta,5,3429.28,6,Stark Industries,10,ElectroShop California
2024-10-14,8,Computadora Portátil 15,1,704.37,8,Dunder Mifflin,6,ElectroShop Oeste
2024-07-31,10,Smartwatch,5,1642.81,4,Umbrella Corp,1,ElectroShop Online
2024-05-16,10,Smartwatch,3,837.79,2,Globex Corporation,10,ElectroShop California
2024-04-09,8,Computadora Portátil 15,2,1291.94,1,ACME Corp,5,Tienda Premium
2024-11-04,3,Refrigerador Doble Puerta,1,806.47,8,Dunder Mifflin,10,ElectroShop California
2024-07-19,10,Smartwatch,1,322.81,9,Pied Piper,2,Tienda Central
2024-01-06,3,Refrigerador Doble Puerta,3,2229.66,10,Hooli,8,ElectroShop Este
2024-04-08,8,Computadora Portátil 15,2,1194.18,2,Globex Corporation,9,Tienda Online Plus
2024-03-04,10,Smartwatch,3,913.68,8,Dunder Mifflin,9,Tienda Online Plus
2024-11-14,1,Televisor LED 55,5,5133.0,5,Weyland-Yutani,6,ElectroShop Oeste
2024-01-09,1,Televisor LED 55,5,5201.38,2,Globex Corporation,2,Tienda Central
2024-02-04,7,Home Theater 5.1,3,598.23,2,Globex Corporation,1,ElectroShop Online
2024-09-14,3,Refrigerador Doble Puerta,1,708.94,1,ACME Corp,5,Tienda Premium
2024-06-27,4,Microondas 20L,5,1537.56,9,Pied Piper,1,ElectroShop Online
2024-07-30,2,Lavadora 8kg,4,1807.43,10,Hooli,7,Tienda Express
2024-03-23,9,Tablet 10,1,391.99,6,Stark Industries,2,Tienda Central
2024-07-08,3,Refrigerador Doble Puerta,3,2456.34,10,Hooli,4,ElectroShop Sur
2024-02-21,4,Microondas 20L,1,327.72,7,Wayne Enterprises,5,Tienda Premium
2024-03-12,5,Aspiradora Sin Bolsa,4,938.2,4,Umbrella Corp,10,ElectroShop California
2024-06-13,3,Refrigerador Doble Puerta,4,3012.94,5,Weyland-Yutani,5,Tienda Premium
2024-03-29,1,Televisor LED 55,4,4066.9,1,ACME Corp,1,ElectroShop Online
2024-01-23,1,Televisor LED 55,2,1942.54,7,Wayne Enterprises,5,Tienda Premium
2024-12-09,6,Licuadora 600W,3,380.02,6,Stark Industries,6,ElectroShop Oeste
2024-08-05,5,Aspiradora Sin Bolsa,2,500.44,1,ACME Corp,7,Tienda Express
2024-03-07,9,Tablet 10,5,2066.24,10,Hooli,2,Tienda Central
2024-03-09,6,Licuadora 600W,5,706.74,5,Weyland-Yutani,1,ElectroShop Online
2024-09-19,5,Aspiradora Sin Bolsa,4,957.06,7,Wayne Enterprises,1,ElectroShop Online
2024-07-04,8,Computadora Portátil 15,1,659.08,4,Umbrella Corp,7,Tienda Express
2024-12-19,7,Home Theater 5.1,1,204.11,5,Weyland-Yutani,7,Tienda Express
2024-12-03,6,Licuadora 600W,3,379.75,3,Initech,10,ElectroShop California
2024-07-05,10,Smartwatch,2,554.65,4,Umbrella Corp,3,Outlet Norte
2024-03-13,8,Computadora Portátil 15,1,644.11,6,Stark Industries,4,ElectroShop Sur
2024-09-13,4,Microondas 20L,3,907.24,1,ACME Corp,7,Tienda Express
2024-04-25,2,Lavadora 8kg,2,865.97,1,ACME Corp,8,ElectroShop Este
2024-04-11,9,Tablet 10,2,867.8,1,ACME Corp,5,Tienda Premium
2024-10-04,9,Tablet 10,1,417.94,1,ACME Corp,8,ElectroShop Este
2024-10-22,10,Smartwatch,4,1139.68,6,Stark Industries,3,Outlet Norte
2024-08-25,9,Tablet 10,2,830.0,5,Weyland-Yutani,6,ElectroShop Oeste
2024-03-24,6,Licuadora 600W,5,663.57,6,Stark Industries,9,Tienda Online Plus
2024-09-24,5,Aspiradora Sin Bolsa,5,1212.88,8,Dunder Mifflin,10,ElectroShop California
2024-10-21,10,Smartwatch,5,1353.64,7,Wayne Enterprises,10,ElectroShop California
2024-04-14,10,Smartwatch,1,301.02,7,Wayne Enterprises,6,ElectroShop Oeste
2024-04-08,10,Smartwatch,5,1424.4,10,Hooli,5,Tienda Premium
2024-04-28,4,Microondas 20L,1,319.36,2,Globex Corporation,1,ElectroShop Online
2024-11-15,10,Smartwatch,1,303.33,1,ACME Corp,6,ElectroShop Oeste
2024-12-16,8,Computadora Portátil 15,1,666.79,1,ACME Corp,9,Tienda Online Plus
2024-01-16,6,Licuadora 600W,1,146.58,1,ACME Corp,4,ElectroShop Sur
2024-09-05,9,Tablet 10,1,387.13,2,Globex Corporation,8,ElectroShop Este
2024-06-17,9,Tablet 10,2,801.11,5,Weyland-Yutani,8,ElectroShop Este
2024-02-14,1,Televisor LED 55,5,4823.16,2,Globex Corporation,5,Tienda Premium
2024-11-21,7,Home Theater 5.1,2,437.68,7,Wayne Enterprises,3,Outlet Norte
2024-04-19,7,Home Theater 5.1,3,577.05,6,Stark Industries,9,Tienda Online Plus
2024-08-19,4,Microondas 20L,3,943.82,4,Umbrella Corp,4,ElectroShop Sur
2024-12-02,3,Refrigerador Doble Puerta,4,2809.44,7,Wayne Enterprises,1,ElectroShop Online
2024-12-24,7,Home Theater 5.1,3,580.84,9,Pied Piper,9,Tienda Online Plus
2024-04-05,8,Computadora Portátil 15,2,1298.48,10,Hooli,10,ElectroShop California
2024-10-24,1,Televisor LED 55,3,2832.78,7,Wayne Enterprises,3,Outlet Norte
2024-08-23,9,Tablet 10,1,438.95,4,Umbrella Corp,5,Tienda Premium
2024-06-29,3,Refrigerador Doble Puerta,2,1603.83,5,Weyland-Yutani,4,ElectroShop Sur
2024-08-31,4,Microondas 20L,5,1593.59,7,Wayne Enterprises,1,ElectroShop Online
2024-10-09,2,Lavadora 8kg,2,826.42,9,Pied Piper,6,ElectroShop Oeste
2024-07-26,4,Microondas 20L,4,1081.31,10,Hooli,9,Tienda Online Plus
2024-01-01,3,Refrigerador Doble Puerta,2,1549.61,6,Stark Industries,9,Tienda Online Plus
2024-03-08,3,Refrigerador Doble Puerta,3,2124.63,8,Dunder Mifflin,4,ElectroShop Sur
2024-08-14,10,Smartwatch,3,970.62,1,ACME Corp,7,Tienda Express
2024-03-03,4,Microondas 20L,4,1146.31,9,Pied Piper,7,Tienda Express
2024-03-14,2,Lavadora 8kg,2,829.22,9,Pied Piper,2,Tienda Central
2024-08-18,5,Aspiradora Sin Bolsa,3,679.54,4,Umbrella Corp,2,Tienda Central
2024-09-04,2,Lavadora 8kg,3,1426.13,1,ACME Corp,4,ElectroShop Sur
2024-02-09,4,Microondas 20L,4,1233.79,10,Hooli,8,ElectroShop Este
2024-06-28,1,Televisor LED 55,4,4266.86,5,Weyland-Yutani,8,ElectroShop Este
2024-05-12,2,Lavadora 8kg,5,2433.48,9,Pied Piper,4,ElectroShop Sur
2024-09-27,6,Licuadora 600W,1,131.13,3,Initech,9,Tienda Online Plus
2024-01-06,2,Lavadora 8kg,3,1248.86,1,ACME Corp,3,Outlet Norte
2024-05-01,8,Computadora Portátil 15,4,2706.2,10,Hooli,7,Tienda Express
2024-05-13,9,Tablet 10,4,1516.75,5,Weyland-Yutani,2,Tienda Central
2024-08-31,10,Smartwatch,2,553.76,1,ACME Corp,8,ElectroShop Este
2024-12-26,10,Smartwatch,4,1140.25,2,Globex Corporation,6,ElectroShop Oeste
2024-02-14,6,Licuadora 600W,4,528.36,5,Weyland-Yutani,7,Tienda Express
2024-02-22,9,Tablet 10,1,409.86,9,Pied Piper,6,ElectroShop Oeste
2024-01-11,4,Microondas 20L,3,933.66,6,Stark Industries,6,ElectroShop Oeste
2024-05-06,8,Computadora Portátil 15,2,1331.49,9,Pied Piper,8,ElectroShop Este
